,latitude,longitude,Date,Time,ID,dist_km,velocity_mps
0,39.984071,116.32014699999999,2008-10-23,06:59:39,6,0.0,0.0
1,39.984140000000004,116.320122,2008-10-23,06:59:44,6,0.007962624982495505,1.592524996499101
2,39.984167,116.32011399999999,2008-10-23,06:59:49,6,0.011038777245031028,1.1038777245031028
3,39.984970000000004,116.319654,2008-10-23,06:59:54,6,0.10843031584156207,7.228687722770804
4,39.984874,116.31971399999999,2008-10-23,06:59:59,6,0.09661054582143697,4.830527291071848
5,39.98487,116.319728,2008-10-23,07:00:04,6,0.09574853558691754,3.8299414234767015
6,39.984821000000004,116.319703,2008-10-23,07:00:09,6,0.09157473385116302,3.052491128372101
7,39.984787,116.319717,2008-10-23,07:00:14,6,0.08764031549104061,2.5040090140297315
8,39.98483,116.31973500000001,2008-10-23,07:00:19,6,0.09140576250151806,2.2851440625379515
9,39.984911,116.31971100000001,2008-10-23,07:00:24,6,0.10051945005479643,2.2337655567732537
10,39.984916999999996,116.31971999999999,2008-10-23,07:00:29,6,0.10086058034143995,2.0172116068287993
11,39.984944,116.319724,2008-10-23,07:00:34,6,0.10354728606383642,1.8826779284333897
12,39.985,116.31969699999999,2008-10-23,07:00:39,6,0.11018551542966,1.836425257161
13,39.985063000000004,116.319672,2008-10-23,07:00:44,6,0.11749500372284803,1.8076154418899697
14,39.985088,116.319682,2008-10-23,07:00:49,6,0.11982419913469261,1.7117742733527517
15,39.985136,116.31966299999999,2008-10-23,07:00:54,6,0.1253968242800712,1.671957657067616
16,39.985199,116.319626,2008-10-23,07:00:59,6,0.13305084231349665,1.6631355289187082
17,39.985209999999995,116.31963999999999,2008-10-23,07:01:04,6,0.13381473947116576,1.5742910526019502
18,39.985171,116.31963999999999,2008-10-23,07:01:09,6,0.1297178534439428,1.4413094827104755
19,39.985123,116.319666,2008-10-23,07:01:14,6,0.12394785590124208,1.3047142726446534
20,39.985112,116.319668,2008-10-23,07:01:19,6,0.12273740472907213,1.2273740472907213
21,39.985112,116.319668,2008-10-23,07:01:22,6,0.12273740472907213,1.1916252886317682
22,39.985107,116.319666,2008-10-23,07:01:24,6,0.12227021080425379,1.1644781981357504
23,39.985076,116.319718,2008-10-23,07:01:29,6,0.11757639700105692,1.0688763363732448
