,Longitude,Latitude,arriveTime,leftTime,scope
0,116.3208801842105,40.01071597368423,2008-10-23 18:6:23,2008-10-24 1:58:9,"[93, 168]"
1,116.32708443749996,40.000295328125,2008-10-24 2:9:9,2008-10-24 9:27:59,"[218, 281]"
2,116.32720109374999,39.992790843749994,2008-10-24 9:32:24,2008-10-24 10:7:42,"[335, 366]"
3,116.32696988095242,39.99897541666669,2008-10-24 10:14:9,2008-10-24 11:24:20,"[443, 526]"
4,116.32821059854014,39.99209378102191,2008-10-24 11:31:22,2008-10-24 11:56:1,"[611, 747]"
5,116.32713007272733,39.999992327272714,2008-10-24 12:4:27,2008-10-25 18:26:52,"[855, 909]"
6,116.32128778378379,40.005304864864875,2008-10-24 16:4:24,2008-10-25 4:59:57,"[1064, 1100]"
7,116.32541541935481,39.98131595698922,2008-10-25 5:18:12,2008-10-25 9:21:26,"[1284, 1376]"
8,116.32692433333334,39.99969566666667,2008-10-25 9:35:41,2008-10-25 9:58:27,"[1551, 1604]"
9,116.32258458461543,40.009567646153855,2008-10-25 10:3:50,2008-10-25 10:28:26,"[1669, 1733]"
10,116.32702984782608,39.99886956521739,2008-10-26 6:55:47,2008-10-26 7:15:53,"[1943, 1988]"
11,116.32099466666666,39.991343833333346,2008-10-26 7:20:43,2008-10-26 7:57:56,"[2046, 2069]"
12,116.32709500000003,39.99921488679245,2008-10-26 8:4:51,2008-10-26 8:42:28,"[2152, 2204]"
13,116.41597801923079,39.96886880769232,2008-10-26 9:37:43,2008-10-26 13:34:42,"[2474, 2525]"
14,116.326883,39.99994431578946,2008-10-26 14:21:2,2008-10-26 18:47:47,"[2762, 2818]"
15,116.32189128125,40.01069093750001,2008-10-26 18:53:7,2008-10-29 5:13:15,"[2882, 2913]"
16,116.32703130303034,39.999657393939394,2008-10-28 7:45:22,2008-10-28 10:33:35,"[3426, 3458]"
17,116.32087453846154,40.009259673076926,2008-10-28 10:40:50,2008-10-28 11:24:30,"[3545, 3596]"
18,116.3272667777778,39.99993011111111,2008-10-27 5:56:15,2008-10-27 6:23:48,"[3817, 3834]"
19,116.31219188372097,39.97358010077518,2008-10-27 7:1:30,2008-10-27 7:46:27,"[4308, 4436]"
20,116.31554761764708,40.00259479411764,2008-10-27 8:4:57,2008-10-27 10:11:41,"[4665, 4698]"
21,116.32588124444442,40.00052097777779,2008-10-27 10:41:13,2008-10-29 6:7:15,"[4851, 4895]"
22,116.32521618354433,39.99193634810126,2008-10-29 7:13:3,2008-10-29 9:29:26,"[5564, 5721]"
23,116.3517516282051,39.959061217948715,2008-10-29 10:3:51,2008-10-29 12:23:14,"[6131, 6208]"
24,116.31984271875002,40.007640229166675,2008-10-29 13:9:19,2008-10-29 13:37:39,"[6745, 6936]"
25,116.32232227999997,40.010276099999984,2008-10-31 17:11:3,2008-10-31 2:7:15,"[7437, 7486]"
26,116.32598538636363,40.00031840909091,2008-10-31 2:12:30,2008-10-31 3:46:43,"[7549, 7592]"
27,116.32515934545451,40.00553987272729,2008-10-31 3:57:53,2008-10-31 5:16:42,"[7693, 7747]"
28,116.32653584848481,39.99981157575759,2008-10-31 5:19:22,2008-10-31 9:19:30,"[7779, 7811]"
29,116.3270966538462,40.008813999999994,2008-10-31 9:24:55,2008-10-31 10:54:8,"[7877, 7928]"
30,116.32630172413795,40.00006717241378,2008-10-30 1:52:37,2008-10-30 3:44:9,"[8138, 8195]"
